loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr
0.6572027206420898,0.6049427390098572,0.6010472774505615,0.6133551001548767,0.6475290656089783,0.7266659736633301,0.0003
0.6191314458847046,0.6427403092384338,0.6807072162628174,0.6197841763496399,0.6293604373931885,0.7045252323150635,0.0003
0.5894266963005066,0.6754497289657593,0.7258099317550659,0.5721679329872131,0.6729651093482971,0.772839367389679,0.0003
0.5634265542030334,0.6954388618469238,0.7585809230804443,0.5794543027877808,0.694767415523529,0.7509527206420898,0.0003
0.5445414781570435,0.7132472991943359,0.7794977426528931,0.5448533892631531,0.7165697813034058,0.7873754501342773,0.0003
0.5377156734466553,0.7243321537971497,0.7884379029273987,0.5121601223945618,0.7369186282157898,0.8113349080085754,0.0003
0.5275194644927979,0.7252407670021057,0.7968615293502808,0.5335366725921631,0.7274709343910217,0.7925491333007812,0.0003
0.5103951096534729,0.7408686280250549,0.8134683966636658,0.5089325904846191,0.7383720874786377,0.8148883581161499,0.0003
0.49514615535736084,0.754679262638092,0.8265832662582397,0.5201377868652344,0.7478197813034058,0.8149847388267517,0.0003
0.48857593536376953,0.760312557220459,0.8333637714385986,0.4980807602405548,0.7420058250427246,0.8242940306663513,0.0003
0.4701365530490875,0.7728511691093445,0.8475921154022217,0.49483880400657654,0.7354651093482971,0.8372208476066589,0.0003
0.4396536648273468,0.7961112260818481,0.8689297437667847,0.48355454206466675,0.7674418687820435,0.8441622853279114,0.00015
0.41028380393981934,0.8124659061431885,0.8878771066665649,0.4676852524280548,0.7776162624359131,0.8581560254096985,0.00015
0.38873669505119324,0.8271851539611816,0.9004224538803101,0.4817291498184204,0.7776162624359131,0.8550662994384766,0.00015
0.3670371174812317,0.8400872349739075,0.9122301936149597,0.49095141887664795,0.770348846912384,0.8459422588348389,0.00015
0.32516562938690186,0.8657096028327942,0.9322022199630737,0.4980892837047577,0.78125,0.8574141263961792,7.5e-05
0.29353663325309753,0.8787933588027954,0.9450312852859497,0.4841170310974121,0.7819767594337463,0.8550729155540466,7.5e-05
0.2724972069263458,0.893149197101593,0.9526991844177246,0.4925295412540436,0.7732558250427246,0.8565435409545898,7.5e-05
0.2605259418487549,0.8976921439170837,0.956088662147522,0.5051223635673523,0.7776162624359131,0.8539827466011047,7.5e-05
0.232510045170784,0.9124113917350769,0.9658433794975281,0.5288457870483398,0.7797965407371521,0.8497251868247986,3.75e-05
0.20805062353610992,0.9227694272994995,0.9731507301330566,0.5357375144958496,0.7797965407371521,0.8499603271484375,3.75e-05
0.19417458772659302,0.9305832982063293,0.9761152267456055,0.5674064755439758,0.7718023061752319,0.8482645750045776,1.875e-05
